Paper..,Original.sample.size,Original.p.value,Replication.p.value,Original.test.statistic.type,Original.df1,Original.df2,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
47,12,0.01467993,0.9470389,F,3,8,0,0.01467993,12,3,0.17946622839113482,7.600906791553896e-4,0.2826942517327496,TRUE
47,12,0.0124397,0.6763842,F,3,8,0,0.0124397,12,3,0.16217194270744362,7.600906791553896e-4,0.23719802659953942,TRUE
47,12,0.6172321,0.8617649,F,3,8,0,0.6172321,12,3,2.092864622444244,7.600906791553896e-4,12.519763294118718,FALSE
47,12,0.09492094,0.6715423,F,3,8,0,0.09492094,12,3,0.5761138178321097,7.600906791553896e-4,1.9122872202565921,FALSE
47,6,0.01263466,0.8146451,t,NA,8,0,0.01263466,6,1,0.18348854044314655,0.0011594819617675167,0.234952013188101,TRUE
47,6,0.002873608,0.2034023,t,NA,8,0,0.002873608,6,1,0.06040804492999937,0.0011594819617675167,0.03509639346762582,TRUE
47,12,0.005528176,0.2747297,t,NA,10,0,0.005528176,12,1,0.10169257633078696,0.0012943663462291477,0.08692648747509037,TRUE
47,12,0.001119253,0.139789,t,NA,10,0,0.001119253,12,1,0.026658805760635246,0.0012943663462291477,-0.0035953406842822223,FALSE
47,12,0.006798659,0.191312,t,NA,10,0,0.006798659,12,1,0.12063032153596646,0.0012943663462291477,0.11301141656217223,TRUE
47,12,0.01782211,0.476283,t,NA,10,0,0.01782211,12,1,0.2643650743244622,0.0012943663462291477,0.3393394647374894,TRUE
47,12,0.009242931,0.4598103,t,NA,10,0,0.009242931,12,1,0.15522485946310474,0.0012943663462291477,0.163196001314223,TRUE
48,6,0.002146524,0.3467888,t,NA,6,0,0.002146524,6,1,0.04836175594916859,0.0011594819617675167,0.020209491583603273,TRUE
48,6,0.002146524,0.002382405,t,NA,6,1,0.002146524,6,1,0.04836175594916859,0.0011594819617675167,0.020209491583603273,TRUE
48,755,1.0499999999999996e-130,1.3599999999999997e-55,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,2.2048952754594175e-4,-0.00442932293735049,FALSE
48,755,1.0499999999999996e-130,2.83e-34,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,2.2048952754594175e-4,-0.00442932293735049,FALSE
48,755,3.329999999999999e-184,3.6699999999999995e-24,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,2.2048952754594175e-4,-0.00442932293735049,FALSE
48,755,3.329999999999999e-184,3.77e-40,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,2.2048952754594175e-4,-0.00442932293735049,FALSE
48,755,6.089999999999999e-110,1.92e-6,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,2.2048952754594175e-4,-0.00442932293735049,FALSE
48,755,6.089999999999999e-110,9.91e-25,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,2.2048952754594175e-4,-0.00442932293735049,FALSE
48,514,0.04570119,7.109999999999999e-40,z,NA,NA,1,0.04570119,514,1,3.0916604406528156,2.695242220143168e-4,0.9135578348537947,TRUE
48,514,0.04570119,9.29e-13,z,NA,NA,1,0.04570119,514,1,3.0916604406528156,2.695242220143168e-4,0.9135578348537947,TRUE
48,514,0.0014397050000000001,2.22e-17,z,NA,NA,1,0.0014397050000000001,514,1,0.14282633654327884,2.695242220143168e-4,0.02353045611728674,TRUE
48,514,0.0014397050000000001,1.03e-16,z,NA,NA,1,0.0014397050000000001,514,1,0.14282633654327884,2.695242220143168e-4,0.02353045611728674,TRUE
48,514,4.11e-9,0.4934609,z,NA,NA,0,4.11e-9,514,1,7.296356901792234e-7,2.695242220143168e-4,-0.005419616599236839,FALSE
48,514,4.11e-9,8.35e-6,z,NA,NA,1,4.11e-9,514,1,7.296356901792234e-7,2.695242220143168e-4,-0.005419616599236839,FALSE
50,99,2.52e-6,0.03207874,t,NA,98,1,2.52e-6,99,1,1.723196607335147e-4,6.194637116566648e-4,-0.012493661633284027,FALSE
